strategy_entropy,avg_branching_factor,planning_anchor_intensity,uncertainty_anchor_intensity,unique_paths,question_id
2.322,1.2,0.3333,0.5,6,82
0.469,2.0,0.0,0.0,2,83
0.0,0.0,0.0,0.0,1,84
1.771,2.333,0.0,0.0,5,85
0.0,0.0,0.0,0.0,1,86
2.161,2.667,0.0,0.1167,6,87
0.469,1.333,0.0,0.0,2,88
1.771,2.0,0.0,0.0833,5,89
2.646,2.25,0.125,0.0,7,90
1.961,1.0,0.0,0.0,5,91
1.157,1.0,0.0,0.0,3,92
2.722,2.6,0.0,0.1417,7,93
2.446,2.333,0.0,0.0,6,94
1.361,1.0,0.0,0.0,3,95
0.0,0.0,0.0,0.0,1,96
1.571,3.0,0.0,0.0,4,97
0.722,0.0,0.0,0.0,2,98
1.361,1.286,0.3,0.3,3,99
1.157,2.0,0.1667,0.0,3,100
2.646,1.75,0.0,0.0,7,101
1.771,2.4,0.0,0.4167,5,102
2.522,2.0,0.0,0.0,7,103
2.161,1.5,0.0278,0.2083,6,104
0.469,1.0,0.0,0.0,2,105
0.469,0.0,0.0,0.0,2,106
2.922,2.091,0.0818,0.2182,8,107
2.646,1.333,0.0,0.0,7,108
3.122,2.571,0.1667,0.1472,9,109
1.357,2.2,0.0,0.25,4,110
2.322,1.625,0.2738,0.3413,6,111
1.357,2.0,0.0,0.0,4,112
1.0,1.0,0.0,0.0,2,113
3.122,2.75,0.1161,0.6429,9,114
2.922,2.0,0.0417,0.5833,8,115
1.761,1.0,0.0,0.0,4,116
0.0,0.0,0.0,0.0,1,117
1.361,3.0,0.0,0.0,3,118
0.0,0.0,0.0,0.0,1,119
2.322,1.75,0.0,0.5,6,120
1.846,1.5,0.0,0.45,4,121
2.371,2.5,0.0,0.4167,6,122
2.522,1.5,0.1125,0.175,7,123
1.361,2.0,0.0,0.0,3,124
1.357,2.0,0.0,0.3333,4,125
0.469,2.0,0.0,0.0,2,126
1.895,3.0,0.0,0.0,4,127
1.571,1.286,0.0,0.4667,4,128
2.161,2.6,0.0694,0.6458,6,129
0.971,1.0,0.0,0.0,2,130
0.922,1.0,0.0,0.1667,3,131
2.522,2.25,0.0,0.0,7,132
2.046,2.0,0.0,0.0,5,133
2.322,2.0,0.5,0.5,6,134
2.161,1.6,0.0,0.125,6,135
1.771,2.25,0.0,0.0,5,136
0.922,2.0,0.0417,0.1875,3,137
0.922,1.0,0.0,0.0,3,138
1.357,2.0,0.0833,0.0,4,139
1.157,1.5,0.0,0.0,3,140
1.357,2.25,0.1096,0.7,4,141
0.881,1.0,0.0,0.0,2,142
1.357,1.8,0.0,0.0,4,143
0.922,2.0,0.0,0.0,3,144
2.522,2.5,0.125,0.3393,7,145
2.846,2.571,0.0,0.4083,8,146
2.722,1.333,0.0,0.1667,7,147
1.761,1.0,0.0,0.0,4,148
0.469,0.0,0.0,0.0,2,149
3.322,2.5,0.1205,0.0967,10,150
2.646,2.25,0.0,0.6429,7,151
1.357,1.6,0.0833,0.0,4,152
1.771,1.857,0.0,0.0952,5,153
3.122,3.167,0.1241,0.4389,9,154
3.322,2.182,0.2778,0.3,10,155
2.446,2.0,0.0833,0.3333,6,156
3.122,3.8,0.0,0.1021,9,157
1.571,0.0,0.0,0.0,4,158
2.161,1.75,0.0,0.3333,6,159
1.361,1.0,0.0,0.0,3,160
1.771,1.833,0.1,0.6,5,161
1.685,1.429,0.1167,0.1333,4,162
1.357,1.833,0.35,0.25,4,163
3.122,3.0,0.1295,0.0714,9,164
3.122,2.3,0.0486,0.6528,9,165
1.357,1.5,0.0,0.0,4,166
2.161,2.0,0.0433,0.3424,6,167
0.881,0.0,0.0,0.0,2,168
1.722,2.0,0.0833,0.0,4,169
2.161,2.0,0.0675,0.1905,6,170
1.771,1.556,0.1208,0.2361,5,171
0.922,1.333,0.0,0.0,3,172
2.522,1.9,0.2118,0.5556,7,173
2.161,3.0,0.0446,0.3304,6,174
2.161,2.2,0.5833,0.4167,6,175
0.469,1.0,0.0,0.0,2,176
1.571,1.4,0.1667,0.2,4,177
1.571,3.0,0.0,0.0,4,178
1.722,2.0,0.0,0.0,4,179
1.157,1.0,0.0,0.0,3,180
1.571,2.0,0.0,0.0,4,181
1.771,3.0,0.0,0.125,5,182
2.922,2.6,0.0417,0.2111,8,183
2.522,2.0,0.0,0.3515,7,184
1.357,1.5,0.5,0.3333,4,185
0.469,1.0,0.0,0.0,2,186
0.0,0.0,0.0,0.0,1,187
1.157,1.0,0.0,0.0,3,188
2.322,2.5,0.0,0.0,6,189
2.322,2.5,0.25,0.0,6,190
0.922,1.0,0.0,0.0,3,191
2.322,2.75,0.0,0.0417,6,192
1.357,1.2,0.1,0.0,4,193
0.0,0.0,0.0,0.0,1,194
1.357,1.5,0.0,0.3333,4,195
0.0,0.0,0.0,0.0,1,196
1.157,0.0,0.0,0.0,3,197
1.357,1.8,0.0,0.25,4,198
2.161,1.5,0.0,0.0833,6,199
2.161,1.8,0.25,0.25,6,200
3.322,2.6,0.1111,0.0972,10,201
1.571,1.0,0.0,0.0,4,202
2.522,2.333,0.0,0.0,7,203
2.846,2.417,0.0347,0.285,8,204
2.161,2.0,0.35,0.325,6,205
2.122,1.25,0.0,0.1667,5,206
2.522,2.333,0.0,0.6429,7,207
1.571,0.0,0.0,0.0,3,208
1.357,1.714,0.0,0.2083,4,209
1.771,2.333,0.0417,0.0667,5,210
0.922,2.0,0.1,0.1333,3,211
2.446,1.455,0.2778,0.0889,6,212
1.685,2.0,0.0,0.0,4,213
2.046,2.833,0.089,0.603,5,214
0.469,1.25,0.0,0.1667,2,215
1.357,1.0,0.0,0.3333,4,216
0.0,0.0,0.0,0.0,1,217
0.0,0.0,0.0,0.0,1,218
1.571,2.0,0.0,0.0,3,219
1.771,2.25,0.0,0.5,5,220
1.771,2.0,0.0,0.0,5,221
2.122,1.0,0.0,0.0,5,222
0.971,0.0,0.0,0.0,2,223
2.522,1.857,0.0,0.3,7,224
2.371,2.25,0.5,0.1389,6,225
2.371,1.556,0.1429,0.1875,6,226
2.846,1.833,0.0785,0.0353,8,227
2.161,2.25,0.0417,0.4524,6,228
2.522,2.222,0.0,0.0903,7,229
1.961,1.6,0.1667,0.3333,5,230
2.161,1.75,0.0,0.25,6,231
1.157,2.0,0.0,0.0,3,232
2.522,1.75,0.0,0.1473,7,233
2.846,3.2,0.1944,0.5,8,234
2.446,2.333,0.0,0.0833,6,235
2.522,1.429,0.0556,0.1786,7,236
1.157,2.0,0.0,0.0,3,237
1.295,2.0,0.0,0.0,3,238
0.469,1.0,0.0,0.0,2,239
0.0,0.0,0.0,0.0,1,240
0.922,1.4,0.0,0.0,3,241
2.322,1.5,0.0,0.5476,6,242
2.161,2.333,0.0,0.1667,6,243
2.322,1.333,0.0,0.0417,6,244
0.922,1.25,0.0,0.5,3,245
1.961,1.625,0.1175,0.531,5,246
2.922,2.222,0.1753,0.162,8,247
2.046,1.0,0.25,0.0,5,248
2.161,1.444,0.067,0.1339,6,249
0.0,0.0,0.0,0.0,1,250
0.469,2.0,0.0,0.0,2,251
0.922,1.5,0.0,0.0,3,252
2.371,1.571,0.0,0.0,6,253
2.522,2.6,0.0,0.225,7,254
2.646,3.333,0.0,0.1652,7,255
2.446,1.111,0.1548,0.4464,6,256
1.571,1.0,0.0,0.0,4,257
1.157,1.5,0.0,0.0,3,258
1.571,1.0,0.0,0.0,4,259
0.469,1.5,0.0,0.0,2,260
0.469,2.0,0.0,0.0,2,261
0.922,2.0,0.0,0.0,3,262
0.881,0.0,0.0,0.0,2,263
3.122,2.667,0.0,0.0,9,264
0.469,1.0,0.0,0.0,2,265
1.771,2.0,0.0,0.0,5,266
3.322,2.727,0.1593,0.4222,10,267
1.771,1.333,0.0,0.0,5,268
1.771,1.5,0.0,0.0,5,269
1.571,1.25,0.3333,0.125,4,270
2.722,2.0,0.0,0.0,7,271
1.357,1.4,0.0667,0.35,4,272
1.771,1.333,0.15,0.0,5,273
0.881,1.0,0.0,0.0,2,274
2.046,1.5,0.0,0.0,5,275
1.771,1.909,0.0379,0.1989,5,276
1.295,0.0,0.0,0.0,3,277
0.469,1.5,0.0,0.0,2,278
0.922,1.75,0.0714,0.2857,3,279
0.469,1.0,0.0,0.0,2,280
2.046,1.714,0.4405,0.4048,5,281
2.322,1.167,0.05,0.2,6,282
2.322,1.5,0.0,0.0,6,283
0.469,1.0,0.0,0.0,2,284
0.922,1.0,0.0,0.0,3,285
0.922,1.0,0.0,0.0,3,286
1.295,1.0,0.0,0.0,3,287
3.322,2.667,0.0,0.1889,10,288
1.157,1.5,0.0,0.0,3,289
2.846,2.444,0.0603,0.1652,8,290
2.122,2.0,0.0,0.15,5,291
2.522,2.0,0.25,0.4792,7,292
2.161,2.3,0.1722,0.1,6,293
1.361,2.0,0.0,0.0,3,294
0.469,1.5,0.5,0.0,2,295
0.469,1.333,0.35,0.5,2,296
2.046,2.0,0.1667,0.0556,5,297
2.161,2.4,0.0,0.325,6,298
2.161,2.111,0.0,0.4375,6,299
0.922,1.0,0.0,0.0,3,300
2.846,1.4,0.0,0.019,8,301
2.646,1.167,0.0,0.1,7,302
1.961,1.875,0.0,0.3259,5,303
1.485,2.0,0.0,0.0,3,304
1.357,1.0,0.0,0.0,4,305
2.161,1.4,0.0,0.05,6,306
0.469,1.0,0.0,0.0,2,307
1.685,1.5,0.1667,0.0,4,308
1.571,1.75,0.0,0.0278,4,309
2.322,1.286,0.0,0.1786,6,310
0.922,1.0,0.0,0.0,3,311
1.571,1.333,0.0833,0.0,4,312
1.295,2.0,0.0,0.0,3,313
1.771,2.0,0.0489,0.2667,5,314
2.161,2.0,0.1,0.1583,6,315
1.357,1.333,0.0667,0.6,4,316
0.922,1.0,0.125,0.0,3,317
2.371,1.8,0.25,0.6667,6,318
0.971,0.0,0.0,0.0,2,319
2.046,1.5,0.0,0.2292,5,320
0.469,1.0,0.0,0.5,2,321
2.522,1.727,0.1614,0.2218,7,322
2.522,2.667,0.0,0.525,7,323
1.685,1.0,0.0,0.0,4,324
0.881,1.0,0.0,0.0,2,325
2.446,1.5,0.0,0.25,6,326
1.771,1.833,0.0,0.8,5,327
1.771,1.375,0.0595,0.5,5,328
1.361,2.0,0.0,0.0,3,329
1.685,1.333,0.0,0.1667,4,330
2.046,2.0,0.1194,0.2546,5,331
0.922,1.5,0.0,0.0,3,332
2.161,1.857,0.2333,0.2667,6,333
2.171,1.667,0.0,0.5,5,334
2.646,2.0,0.0,0.1667,7,335
1.357,2.25,0.0,0.0,4,336
1.357,1.5,0.0,0.5,4,337
2.846,2.227,0.0447,0.6829,8,338
1.357,1.818,0.1444,0.7667,4,339
3.322,3.125,0.5536,0.1881,10,340
1.771,2.2,0.0,0.35,5,341
2.846,2.0,0.0,0.0,8,342
3.122,2.333,0.0444,0.4556,9,343
1.846,1.0,0.0,0.0,4,344
1.295,1.0,0.0,0.0,3,345
1.771,1.5,0.0,0.0,5,346
2.322,1.0,0.0,0.0,6,347
0.469,0.0,0.0,0.0,2,348
1.961,1.25,0.1944,0.0,5,349
2.446,1.0,0.0,0.0,6,350
1.571,1.0,0.0,0.5,4,351
0.922,1.5,0.0,0.25,3,352
2.846,2.778,0.0,0.1597,8,353
2.646,2.25,0.1302,0.0116,7,354
1.371,1.0,0.0,0.0,3,355
1.485,2.0,0.0,0.0,3,356
1.761,1.0,0.0,0.0,4,357
3.322,2.688,0.0779,0.147,10,358
2.322,2.333,0.0,0.0,6,359
0.922,1.667,0.1429,0.125,3,360
2.161,2.333,0.3333,0.3889,6,361
2.161,1.889,0.0,0.8036,6,362
3.122,2.5,0.172,0.4048,9,363
2.522,2.6,0.0,0.2778,7,364
0.469,1.0,0.1667,0.3333,2,365
0.469,2.333,0.0,0.0,2,366
2.446,1.0,0.0,0.0,6,367
1.761,1.0,0.0,0.0,4,368
3.122,2.692,0.0701,0.5644,9,369
1.771,1.0,0.1667,0.0,5,370
1.571,2.0,0.0,0.5,4,371
1.571,1.0,0.0,0.0,4,372
1.357,2.25,0.3333,0.0,4,373
1.357,2.0,0.0,0.3333,4,374
2.322,1.2,0.0,0.0375,6,375
2.322,1.667,0.0833,0.0,6,376
2.322,2.0,0.0,0.0,6,377
1.771,1.667,0.0,0.0,5,378
0.922,2.0,0.0,0.0,3,379
1.685,1.0,0.0,0.5,4,380
0.0,0.0,0.0,0.0,1,381
1.571,2.0,0.0,0.4167,4,382
1.571,1.25,0.1905,0.25,4,383
0.469,2.0,0.5,0.0,2,384
2.922,2.1,0.0969,0.1485,8,385
1.357,1.25,0.0,0.3333,4,386
1.357,2.0,0.0,0.175,4,387
2.522,2.333,0.0,0.25,7,388
3.122,2.8,0.0787,0.3773,9,389
1.522,2.0,0.0,0.0,3,390
1.357,1.667,0.0,0.0,4,391
2.846,2.545,0.0283,0.2803,8,392
2.646,1.667,0.05,0.55,7,393
0.0,0.0,0.0,0.0,1,394
1.157,1.0,0.0,0.0,3,395
1.357,1.333,0.0,0.0,4,396
1.357,2.0,0.0,0.0,4,397
2.646,1.857,0.0714,0.4524,7,398
0.469,1.0,0.0,0.0,2,399
1.771,1.5,0.0,0.0,5,400
0.469,0.0,0.0,0.0,2,401
2.171,1.8,0.125,0.1833,5,402
1.961,2.0,0.0,0.2222,5,403
2.322,2.143,0.0667,0.4,6,404
1.771,1.875,0.0714,0.0179,5,405
0.469,1.75,0.0,0.3333,2,406
0.922,2.0,0.0,0.0,3,407
0.722,0.0,0.0,0.0,2,408
0.922,1.0,0.0,0.0,3,409
1.357,1.636,0.1667,0.3371,4,410
2.161,2.3,0.0694,0.1778,6,411
2.722,2.0,0.0,0.0,7,412
1.157,1.5,0.0,0.0,3,413
0.0,0.0,0.0,0.0,1,414
2.846,2.917,0.0,0.4402,8,415
2.522,2.294,0.0574,0.3934,7,416
1.571,1.667,0.0,0.5,4,417
0.922,2.0,0.0,0.0,3,418
1.157,0.0,0.0,0.0,3,419
1.157,1.0,0.0,0.0,3,420
1.771,2.0,0.0,0.0,5,421
2.446,2.0,0.0833,0.5,6,422
2.122,1.5,0.0,0.2778,5,423
0.469,1.0,0.5,0.0,2,424
2.646,2.167,0.3,0.2958,7,425
1.771,1.0,0.0,0.5,5,426
1.961,1.857,0.0,0.1984,5,427
1.357,1.0,0.0,0.1667,4,428
1.157,1.0,0.0,0.0,3,429
3.122,2.0,0.1273,0.5278,9,430
1.295,1.0,0.0,0.0,3,431
3.122,2.0,0.0133,0.2667,9,432
1.357,1.5,0.0,0.3333,4,433
1.357,1.0,0.0,0.0,4,434
1.357,2.0,0.0,0.0,4,435
2.171,0.0,0.0,0.0,5,436
1.357,1.0,0.0,0.0,4,437
2.161,1.933,0.1242,0.2953,6,438
2.646,1.0,0.0,0.0,7,439
1.771,2.4,0.0938,0.2377,5,440
1.722,1.571,0.0,0.1905,4,441
3.322,3.111,0.0536,0.0982,10,442
3.322,3.5,0.0444,0.1091,10,443
2.161,2.167,0.0,0.2,6,444
2.846,2.5,0.0,0.5833,8,445
2.371,1.5,0.0952,0.1853,6,446
1.357,1.75,0.3333,0.0,4,447
1.761,1.0,0.0,0.0,4,448
2.161,1.6,0.1667,0.1667,6,449
2.161,2.25,0.0318,0.325,6,450
1.571,1.0,0.0,0.5,4,451
0.0,0.0,0.0,0.0,1,452
2.922,2.0,0.0208,0.1611,8,453
0.922,1.667,0.0,0.0,3,454
0.922,1.429,0.2619,0.0,3,455
2.646,2.0,0.3148,0.4759,7,456
2.522,2.125,0.3482,0.1205,7,457
2.322,2.1,0.0324,0.3194,6,458
3.122,1.947,0.094,0.6601,9,459
2.646,2.25,0.1944,0.5952,7,460
2.161,2.143,0.0,0.1155,6,461
1.722,1.8,0.0,0.7083,4,462
1.846,0.0,0.0,0.0,4,463
1.357,2.0,0.0,0.0556,4,464
1.846,1.222,0.075,0.125,4,465
2.161,2.2,0.2667,0.1778,6,466
2.522,2.4,0.1,0.5,7,467
2.846,1.857,0.0,0.0179,8,468
1.895,1.25,0.2083,0.0,4,469
0.0,0.0,0.0,0.0,1,470
1.157,2.0,0.5,0.0,3,471
1.357,1.615,0.1136,0.4848,4,472
2.161,2.4,0.1667,0.2967,6,473
1.357,1.4,0.0,0.0,4,474
3.122,1.8,0.075,0.6,9,475
2.522,1.6,0.1,0.1,6,476
0.469,2.0,0.0,0.0,2,477
1.571,1.75,0.025,0.0333,4,478
1.771,2.222,0.1196,0.7857,5,479
0.469,1.5,0.0,0.0,2,480
1.357,1.25,0.25,0.0,4,481
1.357,1.0,0.0,0.2222,4,482
1.685,1.667,0.5,0.5,4,483
1.361,0.0,0.0,0.0,3,484
0.0,0.0,0.0,0.0,1,485
2.646,1.429,0.0667,0.1333,7,486
1.357,1.0,0.0,0.0,4,487
1.571,1.5,0.0,0.0,4,488
2.122,1.5,0.175,0.7,5,489
2.322,1.833,0.0,0.7,6,490
2.722,1.5,0.0,0.0,7,491
0.469,0.0,0.0,0.0,2,492
2.846,2.3,0.0,0.0318,8,493
2.646,2.571,0.0,0.3375,7,494
2.446,2.0,0.2625,0.3,6,495
0.922,2.0,0.0,0.3333,3,496
1.357,2.0,0.0,0.5,4,497
1.295,2.0,0.0,0.0,3,498
0.0,0.0,0.0,0.0,1,499
1.295,0.0,0.0,0.0,3,500
2.522,2.0,0.1339,0.2976,7,501
1.157,2.0,0.0,0.0,3,502
0.971,0.0,0.0,0.0,2,503
1.295,1.667,0.0,0.3333,3,504
2.122,2.0,0.0,0.1944,5,505
0.922,1.0,0.0,0.0,3,506
1.722,2.0,0.0,0.0,4,507
1.357,3.0,0.0,0.0,4,508
1.771,2.625,0.037,0.2431,5,509
2.846,2.4,0.0,0.2111,8,510
2.646,1.429,0.0,0.127,7,511
1.357,2.0,0.0,0.0,4,512
1.571,1.0,0.0,0.0,4,513
0.0,0.0,0.0,0.0,1,514
2.046,1.0,0.0,0.0,5,515
0.469,1.0,0.0,0.0,2,516
0.469,2.0,0.0,0.0,2,517
1.357,1.333,0.2,0.1167,4,518
2.322,1.4,0.0,0.0,6,519
2.522,2.333,0.1833,0.0,7,520
2.322,1.0,0.0,0.0,6,521
0.971,1.0,0.0,0.0,2,522
1.846,1.75,0.0,0.1667,4,523
2.371,1.0,0.0,0.5,6,524
1.771,2.333,0.0,0.0833,5,525
1.361,1.75,0.0,1.0,3,526
2.522,2.5,0.125,0.25,7,527
0.922,1.0,0.0,0.0,3,528
2.322,1.0,0.0,0.0,6,529
0.922,0.0,0.0,0.0,3,530
2.161,1.625,0.1295,0.1295,6,531
0.722,0.0,0.0,0.0,2,532
1.357,2.0,0.0,0.0,4,533
1.961,2.5,0.0,0.0,5,534
2.371,2.5,0.0,0.0,6,535
0.469,0.0,0.0,0.0,2,536
0.0,0.0,0.0,0.0,1,537
2.646,1.167,0.1444,0.0333,7,538
1.357,2.0,0.0,0.4167,4,539
1.357,2.0,0.1,0.05,4,540
2.161,1.889,0.0972,0.7361,6,541
2.046,1.8,0.1111,0.75,5,542
1.157,1.75,0.0,0.0,3,543
0.922,1.833,0.0,0.3,3,544
0.469,2.0,0.0,0.0,2,545
2.846,2.125,0.0112,0.3571,8,546
2.161,1.2,0.0,0.06,6,547
2.646,2.333,0.0333,0.5667,7,548
2.846,3.0,0.0,0.0833,8,549
1.961,1.75,0.05,0.075,5,550
1.357,2.0,0.0,0.0,4,551
1.357,1.143,0.1746,0.1429,4,552
2.171,1.4,0.0,0.125,5,553
2.646,1.8,0.0,0.1667,7,554
1.571,1.0,0.0,0.0,4,555
0.469,1.0,0.0,0.0,2,556
1.357,1.667,0.0,0.0,4,557
0.922,1.4,0.25,0.0,3,558
3.122,2.25,0.0,0.0,9,559
2.371,1.5,0.0,0.25,6,560
0.722,0.0,0.0,0.0,2,561
1.357,1.0,0.0,0.0,4,562
1.571,1.6,0.0,0.0,4,563
2.646,2.0,0.2667,0.3333,7,564
0.0,0.0,0.0,0.0,1,565
0.881,1.0,0.0,0.0,2,566
1.571,2.0,0.0,0.0,4,567
2.171,1.75,0.0,0.4167,5,568
2.846,2.333,0.0467,0.3378,8,569
1.771,2.0,0.0,0.1548,5,570
0.922,1.333,0.0,0.0,3,571
0.0,0.0,0.0,0.0,1,572
0.469,0.0,0.0,0.0,2,573
1.961,1.5,0.1667,0.0833,5,574
2.122,1.333,0.0,0.0,5,575
0.469,0.0,0.0,0.0,2,576
2.922,2.429,0.0873,0.1429,8,577
2.922,2.455,0.0939,0.3515,8,578
2.046,2.0,0.0,0.0,5,579
3.322,3.0,0.0,0.1892,10,580
0.922,1.333,0.0,0.0,3,581
0.922,1.0,0.0,0.0,3,582
2.646,2.0,0.0,0.0,7,583
2.371,2.222,0.0878,0.6607,6,584
1.357,1.286,0.0635,0.0,4,585
2.522,2.0,0.1586,0.5486,7,586
1.361,1.0,0.0,0.0,3,587
0.722,0.0,0.0,0.0,2,588
0.922,1.143,0.0238,0.2857,3,589
2.846,2.714,0.1917,0.5,8,590
2.322,1.333,0.0,0.0,6,591
2.646,2.1,0.3667,0.2089,7,592
1.361,0.0,0.0,0.0,3,593
1.357,2.0,0.0,0.0,4,594
1.571,1.714,0.0,0.9333,4,595
3.322,2.917,0.1962,0.2153,10,596
0.0,0.0,0.0,0.0,1,597
2.846,1.778,0.0759,0.3036,8,598
1.361,1.0,0.1111,0.0,3,599
0.469,1.0,0.0,0.0,2,600
2.846,2.0,0.0,0.0,8,601
1.571,1.4,0.125,0.0,4,602
1.157,1.571,0.1556,0.5333,3,603
1.685,1.0,0.0,0.0,4,604
1.771,2.0,0.0,0.5,5,605
1.961,1.333,0.0,0.2,5,606
0.722,0.0,0.0,0.0,2,607
1.357,2.6,0.0,0.15,4,608
1.571,2.0,0.15,0.0,4,609
1.157,1.5,0.0,0.25,3,610
2.161,2.5,0.1905,0.7619,6,611
0.469,1.0,0.0,0.0,2,612
0.922,2.0,0.0,0.0,3,613
2.161,1.625,0.0317,0.369,6,614
2.161,2.2,0.0486,0.4375,6,615
1.846,2.0,0.0,0.0,4,616
1.357,1.4,0.0,0.25,4,617
1.761,3.0,0.0,0.0,4,618
0.469,1.333,0.0,0.5,2,619
0.922,2.0,0.0,0.0,3,620
1.571,1.0,0.0,0.0,4,621
2.922,2.4,0.0593,0.3111,8,622
0.469,1.0,0.0,0.0,2,623
1.771,2.5,0.0,0.1667,5,624
0.971,0.0,0.0,0.0,2,625
2.522,2.8,0.0,0.25,7,626
1.685,2.0,0.0,0.0,4,627
1.357,1.333,0.1,0.05,4,628
1.771,2.714,0.2056,0.4333,5,629
3.122,4.167,0.0,0.0333,9,630
1.771,1.0,0.0,0.0,5,631
2.522,2.5,0.0,0.0833,7,632
0.469,1.333,0.0,0.0,2,633
0.469,0.0,0.0,0.0,2,634
1.571,2.0,0.0,0.1667,4,635
1.571,2.333,0.0,0.0,4,636
0.922,1.5,0.0,0.3333,3,637
1.571,1.5,0.5,0.0,4,638
1.361,0.0,0.0,0.0,3,639
1.771,1.786,0.0331,0.1432,5,640
2.846,2.6,0.0841,0.8102,8,641
3.122,2.5,0.0625,0.55,9,642
1.157,2.333,0.0,0.25,3,643
0.922,1.0,0.0,0.0,3,644
1.571,1.75,0.5,0.0,4,645
0.0,0.0,0.0,0.0,1,646
1.771,1.0,0.0,0.0,5,647
1.961,1.625,0.1373,0.0903,5,648
0.922,0.0,0.0,0.0,3,649
2.322,2.143,0.0,0.1667,6,650
1.771,1.0,0.0,0.0,5,651
1.961,1.75,0.0,0.0833,5,652
0.469,1.0,0.0,0.0,2,653
2.246,1.0,0.1,0.0,5,654
0.922,1.667,0.0,0.0,3,655
0.922,1.0,0.0,0.0,3,656
2.171,1.75,0.0054,0.0,5,657
2.646,2.0,0.1,0.075,7,658
2.161,2.25,0.0,0.0,6,659
2.161,1.692,0.0744,0.2003,6,660
2.522,2.125,0.0238,0.2619,7,661
1.571,1.0,0.0,0.0,4,662
2.161,2.0,0.0,0.3333,6,663
1.357,1.667,0.15,0.475,4,664
0.469,1.0,0.0,0.0,2,665
2.161,2.2,0.0,0.0357,6,666
0.0,0.0,0.0,0.0,1,667
1.846,1.333,0.0,0.0,4,668
2.446,1.286,0.0917,0.0,6,669
2.161,3.0,0.0,0.0,6,670
1.846,1.333,0.0,0.0,4,671
2.161,1.857,0.0,0.125,6,672
1.357,2.0,0.0,0.0,4,673
