strategy_entropy,avg_branching_factor,planning_anchor_intensity,uncertainty_anchor_intensity,unique_paths,question_id
3.122,3.0,0.0344,0.1104,9,57
3.322,2.579,0.0954,0.2924,10,58
3.322,3.333,0.1644,0.1389,10,59
3.322,3.0,0.0722,0.0111,10,60
3.322,3.8,0.0792,0.4389,10,61
3.322,3.286,0.0,0.1131,10,62
3.122,2.7,0.0341,0.2083,9,63
3.122,3.636,0.0944,0.1427,9,64
3.122,3.4,0.0,0.0833,9,65
3.322,2.889,0.0,0.0851,10,66
3.322,3.0,0.0335,0.0742,10,67
3.322,2.818,0.0273,0.1348,10,68
3.322,3.0,0.0168,0.1282,10,69
3.322,3.308,0.1136,0.2778,10,70
3.122,3.0,0.0,0.1167,9,71
3.322,3.0,0.033,0.1636,10,72
3.322,3.062,0.0525,0.0602,10,73
3.322,2.722,0.0513,0.0824,10,74
3.322,3.875,0.0347,0.0,10,75
3.322,4.5,0.0,0.1047,10,76
3.122,3.0,0.0,0.1444,9,77
3.322,3.273,0.036,0.3598,10,78
3.322,3.6,0.1061,0.1735,10,79
3.322,4.0,0.1667,0.0357,10,80
3.322,2.636,0.0404,0.1094,10,81
3.322,3.077,0.0686,0.1189,10,82
1.846,2.6,0.0,0.25,4,83
3.322,3.267,0.1173,0.1716,10,84
3.322,2.167,0.1,0.0556,10,85
3.322,2.091,0.0144,0.0162,10,86
3.322,3.1,0.0,0.1212,10,87
3.122,2.688,0.0524,0.1618,9,88
3.322,3.0,0.0659,0.1445,10,89
3.322,4.286,0.0693,0.1555,10,90
2.322,2.778,0.0324,0.1076,6,91
3.322,3.182,0.0,0.0473,10,92
3.322,3.692,0.0,0.0098,10,93
3.122,2.125,0.0248,0.1481,9,94
3.322,3.333,0.0687,0.1065,10,95
3.122,2.667,0.0,0.15,9,96
3.322,2.571,0.0,0.0,10,97
3.322,2.222,0.0362,0.1207,10,98
3.322,3.615,0.1011,0.0648,10,99
3.322,2.545,0.1289,0.0889,10,100
3.322,3.786,0.0194,0.1684,10,101
3.322,2.769,0.0,0.2276,10,102
3.322,3.75,0.0,0.0972,10,103
3.322,2.7,0.0056,0.3,10,104
3.322,3.0,0.025,0.1,10,105
3.322,3.385,0.0576,0.0463,10,106
3.322,3.429,0.1131,0.1383,10,107
3.322,3.214,0.0,0.2022,10,108
2.846,3.455,0.0061,0.0778,8,109
3.322,3.286,0.0433,0.0986,10,110
3.322,3.417,0.0976,0.0468,10,111
3.322,2.571,0.0595,0.0,10,112
1.771,2.75,0.0,0.0521,5,113
3.322,3.833,0.0821,0.0979,10,114
3.322,3.167,0.0364,0.0749,10,115
3.322,3.312,0.0577,0.3051,10,116
3.322,2.875,0.1131,0.0714,10,117
3.122,3.8,0.0417,0.1458,9,118
3.322,3.267,0.0681,0.1179,10,119
3.322,3.875,0.0893,0.0417,10,120
3.322,2.909,0.1455,0.147,10,121
3.322,3.667,0.0,0.2276,10,122
3.322,3.636,0.0625,0.1313,10,123
3.122,2.143,0.0,0.0714,9,124
3.322,3.0,0.0,0.0333,10,125
2.646,2.75,0.0,0.25,7,126
2.846,3.333,0.0,0.25,8,127
3.322,3.308,0.0357,0.0,10,128
3.322,3.75,0.0442,0.2134,10,129
2.922,2.333,0.0,0.0,8,130
3.122,3.0,0.0,0.0648,9,131
2.322,3.6,0.0,0.025,6,132
3.322,3.222,0.0,0.1889,10,133
3.322,3.8,0.1667,0.1667,10,134
3.322,3.091,0.1209,0.2182,10,135
2.922,2.5,0.1917,0.0,8,136
3.122,3.562,0.0514,0.1172,9,137
3.322,3.8,0.0396,0.0654,10,138
3.122,2.667,0.2955,0.1013,9,139
3.322,2.75,0.0769,0.0474,10,140
3.322,2.684,0.0246,0.1747,10,141
3.122,2.909,0.0549,0.4697,9,142
3.322,3.818,0.0323,0.0777,10,143
3.322,2.929,0.0821,0.0,10,144
3.322,3.385,0.0687,0.1432,10,145
3.322,3.25,0.0,0.2593,10,146
3.322,3.714,0.0,0.2198,10,147
3.322,2.667,0.0192,0.1827,10,148
3.322,4.5,0.1269,0.0981,10,149
3.322,3.737,0.0754,0.0742,10,150
3.322,4.0,0.0139,0.15,10,151
2.846,3.0,0.088,0.0069,8,152
3.322,3.118,0.0221,0.0597,10,153
3.322,3.769,0.0995,0.0979,10,154
2.646,3.111,0.1444,0.0028,7,155
3.322,2.75,0.0492,0.1515,10,156
3.322,3.75,0.0,0.142,10,157
3.322,3.067,0.0635,0.4019,10,158
3.122,3.667,0.0,0.2472,9,159
2.846,3.143,0.0,0.0,8,160
3.322,3.308,0.0608,0.1024,10,161
3.322,3.2,0.0777,0.2569,10,162
3.122,3.25,0.0184,0.0457,9,163
3.322,3.2,0.0409,0.1159,10,164
3.322,3.111,0.0402,0.1059,10,165
3.122,3.0,0.0,0.05,9,166
3.322,3.28,0.0485,0.0845,10,167
3.322,3.111,0.0778,0.1889,10,168
3.122,2.75,0.0982,0.4107,9,169
2.846,2.75,0.0952,0.3413,8,170
3.322,3.8,0.0746,0.1028,10,171
3.322,2.625,0.0,0.0536,10,172
3.322,3.25,0.0423,0.4557,10,173
3.322,3.5,0.0303,0.0303,10,174
3.322,2.87,0.0125,0.1056,10,175
3.322,3.4,0.0,0.1583,10,176
3.322,3.385,0.0208,0.0842,10,177
3.322,3.636,0.0814,0.1697,10,178
3.322,3.2,0.0278,0.2364,10,179
3.122,3.333,0.0978,0.0332,9,180
3.322,2.333,0.0235,0.1889,10,181
3.322,2.769,0.0554,0.0959,10,182
3.322,4.333,0.05,0.0667,10,183
3.322,3.9,0.0,0.1468,10,184
3.322,2.583,0.0398,0.071,10,185
3.122,2.3,0.0,0.1841,9,186
3.122,3.5,0.0417,0.2121,9,187
3.322,3.231,0.0275,0.0256,10,188
3.122,3.667,0.0,0.2222,9,189
3.322,2.8,0.0,0.075,10,190
3.322,3.111,0.0,0.0278,10,191
2.922,3.667,0.0,0.1917,8,192
3.322,3.375,0.0138,0.0428,10,193
3.322,3.636,0.0682,0.1727,10,194
3.322,2.571,0.0052,0.0736,10,195
3.322,3.0,0.0268,0.058,10,196
3.322,2.6,0.121,0.0639,10,197
3.122,3.714,0.2004,0.1746,9,198
3.122,2.4,0.0,0.2037,9,199
3.322,3.714,0.1012,0.0625,10,200
3.322,2.769,0.0554,0.1401,10,201
3.122,3.4,0.0625,0.0,9,202
3.322,3.5,0.0,0.2667,10,203
3.322,3.4,0.0468,0.2527,10,204
3.322,3.235,0.0427,0.1625,10,205
3.322,3.643,0.326,0.0573,10,206
3.322,3.667,0.0341,0.2762,10,207
3.322,3.5,0.0,0.1917,10,208
3.322,2.917,0.0345,0.0887,10,209
3.322,3.4,0.0782,0.1489,10,210
3.322,2.909,0.0677,0.1961,10,211
3.322,3.36,0.0103,0.1973,10,212
3.322,3.778,0.0139,0.3352,10,213
3.322,3.238,0.025,0.1639,10,214
3.322,3.267,0.0684,0.1891,10,215
3.322,3.25,0.0829,0.1504,10,216
2.522,2.5,0.0,0.0,7,217
3.322,4.4,0.0233,0.0455,10,218
3.322,3.385,0.0,0.0321,10,219
3.322,3.857,0.0,0.183,10,220
3.322,3.333,0.0476,0.0,10,221
3.322,3.0,0.0764,0.0556,10,222
3.322,2.846,0.0033,0.1538,10,223
2.846,3.636,0.0638,0.2152,8,224
3.322,3.0,0.2589,0.0714,10,225
3.322,3.438,0.0849,0.0941,10,226
3.322,2.222,0.0533,0.152,10,227
3.322,3.556,0.0167,0.1694,10,228
3.322,2.857,0.4524,0.0,10,229
3.122,3.25,0.0836,0.1711,9,230
3.322,2.75,0.0,0.154,10,231
3.322,2.714,0.1139,0.0056,10,232
3.322,3.3,0.1333,0.0628,10,233
3.322,2.889,0.0278,0.1146,10,234
3.122,2.727,0.055,0.1289,9,235
3.322,3.4,0.0069,0.1921,10,236
3.122,3.8,0.0,0.0583,9,237
2.722,2.636,0.0621,0.0693,7,238
1.771,3.0,0.0,0.0,5,239
3.322,2.0,0.0045,0.0804,10,240
3.322,2.429,0.0238,0.0595,10,241
3.322,3.417,0.0187,0.1165,10,242
2.922,2.571,0.0804,0.1964,8,243
3.322,3.364,0.0,0.0712,10,244
3.322,3.889,0.0,0.1019,10,245
3.322,3.0,0.0196,0.411,10,246
3.322,3.385,0.0919,0.1267,10,247
3.122,2.75,0.042,0.0221,9,248
3.122,4.0,0.1142,0.3521,9,249
3.322,3.571,0.0397,0.1726,10,250
2.446,1.8,0.0,0.0,6,251
3.322,2.0,0.0,0.0714,10,252
3.122,2.875,0.2143,0.0,9,253
3.122,3.167,0.0,0.0583,9,254
3.322,3.727,0.0,0.1417,10,255
3.122,3.294,0.0491,0.121,9,256
3.322,3.667,0.1688,0.0,10,257
3.322,4.333,0.2024,0.0298,10,258
3.322,3.812,0.024,0.3271,10,259
3.322,3.364,0.0152,0.1013,10,260
3.322,3.0,0.0701,0.1301,10,261
2.922,3.4,0.15,0.025,8,262
2.846,3.333,0.0868,0.0521,8,263
3.122,3.625,0.0,0.088,9,264
3.322,4.273,0.1187,0.1528,10,265
2.846,3.25,0.0365,0.1389,8,266
3.322,3.312,0.0526,0.0793,10,267
3.122,2.889,0.0593,0.0972,9,268
3.122,2.0,0.0,0.0119,9,269
3.122,2.75,0.0536,0.1027,9,270
2.922,2.5,0.2083,0.0,8,271
3.322,3.211,0.0643,0.1433,10,272
3.322,3.5,0.0182,0.0152,10,273
3.322,3.667,0.0,0.1829,10,274
3.322,3.286,0.0397,0.0909,10,275
3.322,3.091,0.0227,0.1909,10,276
3.322,3.538,0.1084,0.1249,10,277
3.322,2.875,0.0,0.0848,10,278
3.322,3.9,0.0824,0.0229,10,279
2.646,3.5,0.1551,0.0532,7,280
3.322,4.0,0.1131,0.3333,10,281
3.322,3.5,0.0713,0.346,10,282
3.322,3.3,0.0444,0.175,10,283
3.122,2.333,0.0,0.0,9,284
2.522,4.0,0.0,0.0625,7,285
2.922,3.5,0.1577,0.1674,8,286
3.322,3.875,0.0781,0.0327,10,287
3.322,4.222,0.0729,0.1613,10,288
3.322,3.417,0.1368,0.3034,10,289
3.322,3.143,0.0823,0.1275,10,290
3.322,3.714,0.0536,0.0387,10,291
3.322,3.286,0.1054,0.2722,10,292
3.322,4.091,0.0,0.1616,10,293
3.322,3.4,0.0,0.05,10,294
3.322,3.357,0.0728,0.2569,10,295
3.322,4.643,0.01,0.0843,10,296
3.322,2.909,0.2364,0.0503,10,297
3.322,2.857,0.0,0.25,10,298
3.122,2.688,0.1255,0.2833,9,299
3.322,3.385,0.0077,0.038,10,300
3.322,2.923,0.1229,0.0878,10,301
3.122,2.125,0.0,0.0625,9,302
3.322,2.625,0.0364,0.134,10,303
3.322,3.455,0.0881,0.1833,10,304
3.322,3.5,0.0737,0.0804,10,305
2.846,2.714,0.0302,0.304,8,306
3.322,4.2,0.1167,0.0333,10,307
3.322,3.5,0.0907,0.0576,10,308
3.322,3.417,0.012,0.109,10,309
3.122,3.1,0.0,0.0455,9,310
3.322,3.636,0.0202,0.0859,10,311
3.122,2.778,0.0243,0.0799,9,312
3.322,3.091,0.0091,0.0864,10,313
3.322,2.783,0.0268,0.2126,10,314
3.322,3.286,0.0646,0.152,10,315
3.122,3.1,0.11,0.25,9,316
3.322,3.308,0.0637,0.0563,10,317
2.922,2.417,0.0543,0.065,8,318
3.322,4.2,0.0991,0.113,10,319
3.322,3.571,0.1667,0.0982,10,320
3.322,3.625,0.0556,0.015,10,321
3.322,3.647,0.072,0.0716,10,322
3.322,3.909,0.0,0.0448,10,323
3.322,4.0,0.0,0.1175,10,324
3.122,2.667,0.1746,0.0357,9,325
3.322,2.294,0.0449,0.2163,10,326
3.322,3.833,0.0,0.1111,10,327
3.322,3.778,0.1472,0.1454,10,328
2.922,2.125,0.0,0.0,8,329
3.322,3.538,0.0206,0.217,10,330
3.322,4.077,0.0916,0.0826,10,331
3.122,3.625,0.0893,0.0417,9,332
3.322,3.636,0.1264,0.1379,10,333
3.322,3.375,0.058,0.0223,10,334
3.322,4.091,0.0537,0.2724,10,335
3.322,4.0,0.2143,0.2262,10,336
2.371,2.625,0.0357,0.0714,6,337
3.322,2.731,0.0387,0.1779,10,338
3.322,2.762,0.0586,0.1493,10,339
3.322,3.25,0.0,0.1586,10,340
3.322,4.3,0.0,0.1023,10,341
2.922,2.714,0.127,0.0595,8,342
3.322,3.182,0.1081,0.1963,10,343
3.322,3.0,0.0444,0.0056,10,344
3.322,2.909,0.0711,0.2795,10,345
2.722,2.333,0.0,0.0,7,346
3.322,4.1,0.0167,0.0608,10,347
3.322,3.455,0.0193,0.0636,10,348
3.322,3.714,0.0714,0.1339,10,349
3.322,2.588,0.0232,0.0961,10,350
2.922,3.167,0.05,0.0167,8,351
3.322,2.923,0.022,0.0721,10,352
3.322,3.154,0.0019,0.1131,10,353
3.322,3.167,0.0932,0.0589,10,354
2.646,2.875,0.0509,0.1146,7,355
3.122,3.7,0.0106,0.0614,9,356
3.322,3.25,0.0387,0.1057,10,357
3.322,3.273,0.0076,0.0215,10,358
3.322,2.444,0.0,0.1806,10,359
3.322,3.062,0.0701,0.1154,10,360
3.322,3.333,0.0202,0.0,10,361
3.322,4.357,0.0455,0.1665,10,362
3.322,3.0,0.0274,0.2147,10,363
3.122,2.778,0.0,0.0822,9,364
2.922,2.857,0.0258,0.0893,8,365
3.322,3.778,0.0926,0.1289,10,366
3.322,2.938,0.0522,0.201,10,367
3.322,3.364,0.025,0.0625,10,368
3.322,3.312,0.0725,0.1431,10,369
3.322,2.167,0.0609,0.1324,10,370
3.322,3.571,0.1667,0.2302,10,371
3.122,3.5,0.0826,0.1652,9,372
3.322,4.0,0.1722,0.2833,10,373
2.846,2.875,0.067,0.1295,8,374
2.846,2.857,0.0952,0.0635,8,375
2.846,3.25,0.0648,0.1273,8,376
3.322,3.0,0.0,0.1701,10,377
3.122,3.25,0.0,0.006,9,378
3.122,2.0,0.0119,0.1518,9,379
3.322,3.526,0.0505,0.1314,10,380
3.322,4.125,0.1146,0.0903,10,381
3.322,3.444,0.0208,0.4444,10,382
3.322,3.615,0.1186,0.1426,10,383
3.322,3.4,0.0141,0.1349,10,384
3.322,3.455,0.0202,0.1448,10,385
3.322,3.077,0.0607,0.1215,10,386
3.122,3.0,0.0325,0.0222,9,387
3.122,2.333,0.0833,0.0333,9,388
3.322,2.889,0.0192,0.1512,10,389
3.322,2.9,0.0213,0.1574,10,390
3.322,2.522,0.0767,0.1546,10,391
3.322,4.0,0.1679,0.1846,10,392
3.322,2.68,0.0856,0.4183,10,393
3.322,2.812,0.03,0.2556,10,394
3.322,4.778,0.1042,0.088,10,395
3.122,3.75,0.0278,0.0347,9,396
3.122,3.25,0.0648,0.0127,9,397
3.122,3.0,0.0697,0.0919,9,398
3.322,2.769,0.0179,0.0908,10,399
2.161,2.75,0.0,0.0571,6,400
3.322,3.667,0.1215,0.2203,10,401
3.322,3.222,0.033,0.0122,10,402
3.322,4.167,0.1152,0.0884,10,403
3.322,3.7,0.0858,0.1861,10,404
3.322,3.333,0.0295,0.1214,10,405
3.322,3.6,0.0,0.0833,10,406
3.322,2.917,0.0,0.1742,10,407
3.322,3.667,0.1748,0.005,10,408
3.322,3.8,0.0,0.1264,10,409
3.322,3.125,0.0518,0.1673,10,410
3.322,2.769,0.0,0.0286,10,411
2.846,3.25,0.0,0.1296,8,412
3.322,2.667,0.0043,0.1036,10,413
2.922,3.286,0.0,0.0982,8,414
3.322,3.818,0.0718,0.066,10,415
3.322,4.0,0.0557,0.0761,10,416
3.322,3.818,0.1148,0.072,10,417
3.322,4.6,0.0618,0.1097,10,418
3.322,3.5,0.1429,0.0238,10,419
3.322,2.75,0.0,0.1597,10,420
3.322,4.125,0.0732,0.183,10,421
2.846,2.778,0.0671,0.3056,8,422
3.322,3.2,0.0658,0.0653,10,423
2.846,3.714,0.0,0.131,8,424
3.322,3.333,0.1204,0.1806,10,425
3.322,3.071,0.0125,0.1278,10,426
3.322,3.091,0.0,0.0767,10,427
3.122,3.1,0.0593,0.1389,9,428
3.322,3.778,0.0556,0.11,10,429
3.322,3.4,0.0641,0.4485,10,430
3.322,3.067,0.103,0.1337,10,431
3.322,2.889,0.0764,0.0486,10,432
3.122,4.0,0.0,0.123,9,433
3.322,4.0,0.0694,0.0883,10,434
2.161,2.333,0.0,0.0,6,435
3.322,3.909,0.0902,0.0893,10,436
2.846,3.3,0.1194,0.0167,8,437
2.846,3.077,0.092,0.0595,8,438
3.322,3.267,0.0381,0.0782,10,439
3.322,3.75,0.0459,0.1253,10,440
3.322,3.2,0.0259,0.2093,10,441
3.322,3.167,0.0726,0.1229,10,442
3.322,4.278,0.0175,0.1484,10,443
3.122,3.182,0.0,0.0591,9,444
3.322,2.438,0.0,0.1002,10,445
3.322,3.909,0.0212,0.1199,10,446
2.446,2.6,0.0,0.0,6,447
3.322,3.353,0.081,0.1736,10,448
3.322,3.111,0.0664,0.1843,10,449
3.322,2.562,0.0996,0.0662,10,450
3.122,3.778,0.0,0.2565,9,451
3.322,3.091,0.1282,0.0508,10,452
3.322,3.786,0.0625,0.1513,10,453
1.961,3.333,0.0,0.0,5,454
3.322,3.15,0.0785,0.1297,10,455
3.122,2.786,0.0099,0.141,9,456
3.122,2.889,0.0903,0.1528,9,457
3.122,2.474,0.0448,0.288,9,458
3.322,2.875,0.0344,0.034,10,459
3.122,2.9,0.1167,0.3611,9,460
3.322,3.0,0.0,0.2167,10,461
3.322,2.727,0.0244,0.1679,10,462
3.122,3.6,0.0545,0.1175,9,463
3.122,3.286,0.1131,0.1012,9,464
3.322,3.692,0.0706,0.122,10,465
3.322,4.154,0.0512,0.1408,10,466
3.322,2.929,0.0055,0.0458,10,467
3.322,3.0,0.08,0.1301,10,468
3.322,3.0,0.0312,0.0451,10,469
3.322,3.833,0.078,0.3409,10,470
3.122,2.667,0.1222,0.1426,9,471
3.322,3.278,0.0331,0.0868,10,472
3.322,3.643,0.0488,0.0726,10,473
3.322,2.615,0.0272,0.2269,10,474
3.322,3.462,0.0845,0.1005,10,475
3.322,3.125,0.0923,0.0952,10,476
3.322,2.143,0.0,0.2341,10,477
3.322,3.364,0.0795,0.0455,10,478
3.322,3.917,0.0832,0.1323,10,479
3.122,3.5,0.0,0.1083,9,480
3.322,3.583,0.1979,0.2212,10,481
3.322,3.333,0.0,0.1551,10,482
3.122,4.1,0.09,0.1606,9,483
3.322,3.556,0.1769,0.1163,10,484
3.122,2.333,0.0,0.1222,9,485
3.322,2.727,0.053,0.3049,10,486
3.322,3.273,0.0543,0.0101,10,487
3.122,2.909,0.0462,0.1027,9,488
3.322,3.667,0.0262,0.0801,10,489
3.322,3.231,0.0777,0.2103,10,490
2.846,3.0,0.1905,0.0,8,491
3.322,3.375,0.0908,0.0685,10,492
3.322,4.571,0.0,0.0554,10,493
3.322,3.818,0.0,0.0,10,494
3.322,3.2,0.0958,0.1704,10,495
3.322,3.091,0.025,0.0,10,496
3.322,3.125,0.1597,0.1667,10,497
2.646,3.286,0.3571,0.0179,7,498
3.322,3.294,0.0458,0.1976,10,499
3.322,3.0,0.0301,0.1198,10,500
3.322,3.615,0.0163,0.1679,10,501
3.322,3.0,0.0675,0.0516,10,502
2.922,3.4,0.0,0.1333,8,503
3.322,2.438,0.1154,0.3954,10,504
3.322,3.417,0.0647,0.1835,10,505
3.322,2.4,0.0222,0.1333,10,506
3.322,3.308,0.0641,0.271,10,507
3.322,2.0,0.0,0.1267,10,508
3.322,3.25,0.0864,0.1907,10,509
3.322,3.267,0.0,0.1713,10,510
3.122,2.545,0.0467,0.1894,9,511
3.322,4.0,0.0278,0.3259,10,512
2.722,2.917,0.0283,0.3194,7,513
3.322,4.2,0.0119,0.0964,10,514
3.322,2.667,0.0742,0.4744,10,515
3.322,3.333,0.0,0.0,10,516
3.122,4.6,0.1125,0.2,9,517
3.322,3.0,0.0583,0.2674,10,518
3.322,2.733,0.0631,0.2813,10,519
3.322,3.9,0.1137,0.1111,10,520
2.846,3.125,0.0,0.1071,8,521
3.322,3.556,0.0347,0.088,10,522
3.322,3.429,0.0179,0.122,10,523
3.322,4.25,0.1429,0.0536,10,524
3.322,2.167,0.0,0.2443,10,525
3.322,3.667,0.0829,0.3389,10,526
3.322,4.125,0.0532,0.1736,10,527
3.322,3.875,0.0,0.1964,10,528
3.322,3.1,0.0,0.0296,10,529
3.322,2.4,0.025,0.0,10,530
3.322,3.769,0.0759,0.1264,10,531
3.322,3.25,0.0073,0.0247,10,532
3.322,3.0,0.0471,0.3269,10,533
3.322,3.0,0.0,0.2074,10,534
3.122,2.0,0.0,0.0,9,535
2.922,2.714,0.1032,0.0899,8,536
3.122,3.6,0.2,0.1583,9,537
3.322,3.3,0.1036,0.0841,10,538
3.322,3.455,0.0566,0.0593,10,539
3.322,4.0,0.114,0.0605,10,540
3.322,3.647,0.0229,0.1432,10,541
3.322,2.952,0.0774,0.1563,10,542
3.122,3.091,0.1402,0.0,9,543
3.122,2.5,0.0,0.0568,9,544
3.122,3.2,0.0,0.05,9,545
3.322,3.636,0.0205,0.0799,10,546
2.846,3.0,0.0,0.1633,8,547
3.122,2.444,0.044,0.1215,9,548
3.322,2.857,0.0238,0.0746,10,549
3.322,3.333,0.0475,0.0748,10,550
3.322,3.583,0.0134,0.1122,10,551
3.322,2.733,0.0363,0.2365,10,552
3.322,3.857,0.0714,0.1667,10,553
3.322,3.571,0.0,0.0208,10,554
3.322,3.429,0.048,0.275,10,555
3.122,2.375,0.0357,0.2321,9,556
3.122,1.8,0.0,0.0,9,557
3.322,4.429,0.058,0.0022,10,558
3.322,2.5,0.0556,0.0083,10,559
2.922,2.444,0.1319,0.0451,8,560
3.322,3.312,0.1016,0.0635,10,561
3.322,3.571,0.0306,0.16,10,562
3.122,3.0,0.0033,0.075,9,563
3.322,4.0,0.0221,0.094,10,564
0.922,2.25,0.0238,0.0089,3,565
3.322,2.333,0.0659,0.194,10,566
3.322,2.889,0.0,0.07,10,567
3.122,2.75,0.3333,0.1667,9,568
3.322,2.429,0.1111,0.0,10,569
3.322,3.0,0.0,0.1071,10,570
3.322,2.6,0.0438,0.0778,10,571
3.322,2.0,0.0,0.2024,10,572
3.322,3.571,0.0,0.1756,10,573
3.322,3.111,0.0764,0.375,10,574
2.646,3.143,0.0,0.1111,7,575
3.122,3.429,0.0349,0.175,9,576
3.322,3.211,0.0727,0.1484,10,577
3.322,2.765,0.0661,0.1727,10,578
2.846,2.0,0.1131,0.0,8,579
3.322,3.867,0.0139,0.1872,10,580
2.646,2.667,0.0,0.3333,7,581
3.322,3.778,0.0074,0.1519,10,582
3.122,3.083,0.0489,0.1054,9,583
3.322,4.125,0.0558,0.2975,10,584
3.322,3.889,0.0068,0.563,10,585
3.322,3.929,0.084,0.1195,10,586
3.322,2.933,0.0103,0.2339,10,587
3.322,4.0,0.0278,0.0997,10,588
3.322,3.75,0.018,0.1026,10,589
3.322,4.111,0.0199,0.0764,10,590
3.122,2.75,0.1278,0.0,9,591
3.322,2.8,0.0333,0.2417,10,592
3.322,3.75,0.1505,0.0231,10,593
3.322,4.25,0.0,0.0,10,594
3.322,4.0,0.046,0.0149,10,595
3.322,3.167,0.1603,0.0545,10,596
3.322,3.176,0.0096,0.1162,10,597
3.322,3.4,0.0837,0.0862,10,598
3.322,3.0,0.0292,0.0542,10,599
3.322,4.5,0.0,0.1333,10,600
2.371,2.0,0.0,0.0,6,601
3.322,3.692,0.0427,0.0924,10,602
3.322,3.556,0.1593,0.2556,10,603
3.322,3.5,0.0,0.1198,10,604
3.322,3.562,0.0987,0.0534,10,605
3.322,3.933,0.1344,0.0094,10,606
3.322,4.417,0.0096,0.1059,10,607
3.322,3.188,0.1482,0.0644,10,608
3.322,3.2,0.1364,0.0,10,609
3.322,4.429,0.0,0.1473,10,610
3.322,3.45,0.0378,0.1363,10,611
3.322,2.867,0.004,0.0181,10,612
3.122,2.333,0.0,0.1333,9,613
2.646,3.0,0.1369,0.2262,7,614
2.646,3.308,0.003,0.2447,7,615
3.122,4.0,0.1083,0.3667,9,616
3.322,3.455,0.0206,0.0819,10,617
3.122,3.545,0.0692,0.1591,9,618
3.322,2.778,0.0324,0.1042,10,619
3.322,2.8,0.0,0.1083,10,620
3.322,3.154,0.0302,0.2582,10,621
3.322,3.5,0.1667,0.0833,10,622
3.122,4.167,0.05,0.125,9,623
3.322,3.8,0.0571,0.142,10,624
3.122,2.857,0.1778,0.0,9,625
3.322,3.857,0.0238,0.0655,10,626
3.322,4.0,0.0312,0.1295,10,627
3.322,3.833,0.0,0.1068,10,628
3.122,2.571,0.0253,0.4148,9,629
3.322,4.125,0.0,0.0491,10,630
3.322,2.923,0.0534,0.2628,10,631
2.522,3.4,0.275,0.1125,7,632
3.322,2.571,0.0354,0.175,10,633
2.922,2.444,0.0,0.0833,8,634
3.322,2.769,0.0,0.2292,10,635
2.846,3.25,0.0,0.0833,8,636
3.322,3.0,0.0672,0.1111,10,637
3.322,4.267,0.0344,0.1337,10,638
3.322,3.263,0.0058,0.1199,10,639
3.322,3.056,0.0413,0.1737,10,640
3.322,3.667,0.0803,0.0932,10,641
2.846,3.0,0.0463,0.375,8,642
2.722,2.25,0.0,0.1667,7,643
3.122,2.571,0.0179,0.2202,9,644
